part_id,part_name,motor_type,price
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",GENIO CBS ISS,59000.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",BEAT FI CBS,59000.0
06535GN5505,RACE STEERING KIT,NEW BEAT CAST WHEEL,103000.0
ACG10GR,AHM CVT GREASE 10 GR,NEW BEAT CAST WHEEL,15000.0
23100K44BA0,"BELT DRIVE, KIT",BEAT STREET CBS,150000.0
22102K44V00,FACE DRIVE,BEAT STREET CBS,49500.0
22110K44V00,FACE COMP MOVABLE DRIVE,BEAT STREET CBS,75500.0
082322MAK0LN1,"OLI MPX1 10W30 SL 0,8L IDE",REVO,57000.0
08CLAH50500,HONDA M/C GENUINE COOLANT,NEW PCX 150 CBS,19500.0
32100KWB920,HARNESS WIRE,SUPRA X,284500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",NEW SCOOPY STYLISH,50000.0
43130KZL930,BRAKE SHOE,NEW SCOOPY STYLISH,55500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,NEW SCOOPY STYLISH,16500.0
AHGK0010014,HONDA LEATHER KEYCHAIN,NEW SCOOPY STYLISH,57000.0
06455KPPN02,"PAD SET, FR BRAKE",CB150R STREETFIRE,64500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",ADV 160 ABS,70500.0
ACG10GR,AHM CVT GREASE 10 GR,BEAT SPORTY CW,15000.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",VARIO 125 CBS ISS,59000.0
06535GN5505,RACE STEERING KIT,BEAT SPORTY CW,103000.0
AHB6201RS,BEARING BALL (SET),BEAT SPORTY CW,51400.0
22110GFM960,"FACE COMP., MOVABLE DRIVE",NEW VARIO,82000.0
2212AKVB900,ROLLER WEIGHT SET,NEW VARIO,67500.0
22011K81N00,"PIECE SET,SLIDE",NEW VARIO,18500.0
17210K93N00,"ELEMENT COMP., AIR CLEANER",NEW SCOOPY STYLISH,63500.0
31919K25602,SPARK PLUG U27EPR-N9 (DS),NEW SCOOPY STYLISH,24500.0
31916KRM841,SPARK PLUG CPR8EA9 (NGK),VARIO 125 CBS,21850.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",BEAT POP ESP CW PIXEL,59000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",BEAT,50000.0
31500KPH881,BATTERY GTZ5S GS,SCOOPY ESP,248000.0
AHGK0010014,HONDA LEATHER KEYCHAIN,VARIO 160 CBS,57000.0
AHTS0301050,HRC23 SPRTY NAVY TSHIRT XL,VARIO 160 CBS,151000.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",PCX160 CBS,0.0
082322MAK0LN1,"OLI MPX1 10W30 SL 0,8L IDE",REVO CW,57000.0
44711K59A12,TIRE FR TL (80/90-14),VARIO 150 SPORTY,263000.0
42753KWF901,"VALVE,RIM(TRITON)",VARIO 150 SPORTY,21000.0
23100K0JBA0,BELT DRIVE KIT,NEW SCOOPY PRESTIGE,130500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 150,59000.0
082322MAK1LZ1,OLI MPX1 10W30 SL 1L IDE,TIGER CAST WHEEL,65000.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",SCOOPY ESP,0.0
ALF6201RS,BEARING BALL (SET),ALL NEW SCOOPY STYLISH,49900.0
HBF50ML,"BRAKE,FLUID",ALL NEW SCOOPY STYLISH,8500.0
88220K81N30,"MIRROR COMP., L.",BEAT STREET,40500.0
42711K59A12,TIRE RR TL (90/90-14),BeAT Sporty CBS,297000.0
082342MBK8LZ0,"SPX2 10W30 SLMB 0,65L REP",BeAT Sporty CBS,61500.0
31500KPH881,BATTERY GTZ5S GS,BeAT Sporty CBS,248000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BEAT STREET CBS,16500.0
31500KWWA02,BATTERY YTZ4-V,BEAT SPORTY CW,253500.0
ACG10GR,AHM CVT GREASE 10 GR,VARIO TECHNO 125 CBS ISS,15000.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 160 CBS,0.0
03512HDL000,HONDA DISC LOCK,BeAT Sporty CBS ISS Deluxe,107500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,ALL NEW SCOOPY STYLISH,16500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",ALL NEW SCOOPY STYLISH,59000.0
06455KVBT01,PAD SET FR,BeAT Sporty CBS,60500.0
06430K44V80,"SHOE SET,BRAKE",VARIO 125 CBS ISS,57500.0
35150KPH880,SWITCH UNIT LIGHTING,VARIO TECHNO,35500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO TECHNO,59000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO 160 CBS,16500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",VARIO 160 CBS,50000.0
43130KZL930,BRAKE SHOE,VARIO 160 CBS,55500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",REVO 110 CAST WHEEL,59000.0
43130KZL930,BRAKE SHOE,ALL NEW SCOOPY PLAYFUL,55500.0
06455KVBT01,PAD SET FR,ALL NEW SCOOPY PLAYFUL,60500.0
082322MBK3LN9,"MPX2 10W30 SLMB 0,65L CAS",BeAT Sporty CBS,50000.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",PCX160 CBS,70500.0
082342MAK0LZ0,"SPX1 10W30 SLMA 0,8L REP",SUPRA X 125 CW MMC,69500.0
082322MBK8LZ0,"MPX2 10W30 SLMB 0,8L REP",NEW BEAT CAST WHEEL,59000.0
35340KWB601,SWITCH FR STOP ASSY,NEW BEAT CAST WHEEL,55500.0
082322MAK0LN5,"MPX1 10W30 SLMA 0,8L CAS",REVO X,57000.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",BeAT Sporty CBS,70500.0
17220KZR600,"ELEMENT SET, AIR CLEANER",VARIO 125 CBS,59000.0
HPC480ML,HONDA PARTS CLEANER,VARIO 125 CBS,40000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,SPACY CW HELM IN,16500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",SPACY CW HELM IN,59000.0
15600LCL24,ENGINE FLUSH,REVO X,25000.0
HBF50ML,"BRAKE,FLUID",REVO X,8500.0
15600LCL08,CAIRAN INJECTOR,REVO X,35000.0
45530KVY911,CYLINDER SET MASTER,REVO X,77000.0
082322MBK0LZ1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 150,58500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,ADV160 ABS,16500.0
06455KWB601,PAD SET FR,SUPRA X 125 CW,55000.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",BEAT SPORTY CW,59000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",BEAT SPORTY CBS ISS DELUXE,50000.0
082322MAK0LN1,"OLI MPX1 10W30 SL 0,8L IDE",REVO SW FI,57000.0
22535K44V00,WEIGHT SET CLUTCH,BeAT Sporty CBS ISS Deluxe,127000.0
17210K0JN00,"ELEMENT COMP,AIR/C",BeAT Sporty CBS ISS Deluxe,55000.0
22123KWN640,"ROLLER SET,WEIGHT",BeAT Sporty CBS ISS Deluxe,50000.0
06455KVBT01,PAD SET FR,BeAT Sporty CBS ISS Deluxe,60500.0
31926KRM841,SPARK PLUG CPR9EA9 (NGK),BeAT Sporty CBS ISS Deluxe,23000.0
22011K93N00,PIECE SET SLIDE,BeAT Sporty CBS ISS Deluxe,16500.0
31919K25602,SPARK PLUG U27EPR-N9 (DS),VARIO 150,24500.0
91005KVBN50,"BRG,COMP DRIVE SHAFT",VARIO 150,39500.0
12251KZR601,"GASKET, CYLINDER HEAD",VARIO 125 CBS,24000.0
91201K59A11,"OIL SEAL, 20.8X32X6",VARIO 125 CBS,11500.0
06455KVB401,PAD SET FR (NA),NEW PCX 150 ABS,58500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,NEW PCX 150 ABS,16500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",NEW PCX 150 ABS,70500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO TECHNO 125 FI CBS,16500.0
34906GB6921,BULB TAILLIGHT,BeAT Sporty CBS,12500.0
SS8175ML,OIL SHOCK,BEAT SPORTY CBS ISS,29500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",BEAT SPORTY CBS ISS,59000.0
51490KGH902,SEAL SET FR FORK,BEAT SPORTY CBS ISS,86000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO TECHNO 125 FI ISS,16500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO TECHNO 125 FI ISS,59000.0
31926KRM842,31926KRM841,VARIO TECHNO 125 FI ISS,18500.0
17210KZR600,"ELEMENT COMP, AIR CLEANER",VARIO TECHNO 125 FI ISS,56500.0
17653LCL03,INJECTOR CLEANER,VARIO 125 CBS,25000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",SCOOPY ENERGETIC,0.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",BEAT CW FI MMC,50000.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",ADV160 CBS,70500.0
TBC500ML,THROTTLE BODY CLEANER 500ML,NEW PCX 150 CBS,35500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",VARIO FI,50000.0
082322MAK0LN5,"MPX1 10W30 SLMA 0,8L CAS",BLADE S,57000.0
08234M99K8LZ0,SCOOTER GEAR OIL-SYN120MLREP,PCX 160 CBS,19500.0
5325BK25610,"COVER COMP,HANDLE RR",BEAT SPORTY CW,44000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BEAT SPORTY CBS ISS,16500.0
17210K1AN00,"ELEMENT COMP,AIR/C",BeAT Sporty CBS,51500.0
